run,phase,dataset,epochs,best_acc,best_acc_ep,best_f1,best_f1_ep,last_acc,last_f1,min_cls_ce_uw
SDAVT_R4_C3_C1_baseline_20260625_200937,p3_c3,?,45,0.541667,29,0.533564,29,0.510753,0.495605,1.302475
SDAVT_R4_C3_C2_w2v_large_20260626_004150,p3_c3,?,47,0.567204,31,0.562863,31,0.551075,0.539214,1.236099
SDAVT_R4_C3_C3_focal_20260626_043125,p3_c3,?,50,0.556452,41,0.552599,41,0.538978,0.539216,1.27411
SDAVT_R4_F_C_ES,p2_fusion,crema,47,0.547043,41,0.541194,34,0.541667,0.528858,1.286404
SDAVT_R4_F_C_LFA_20260624_070022,p2_fusion,crema,28,0.306452,15,0.297813,26,0.302419,0.290646,1.729417
SDAVT_R4_F_C_LFT_20260624_073903,p2_fusion,crema,28,0.331989,15,0.308119,15,0.306452,0.280939,1.662516
SDAVT_R4_F_C_STD_20260624_081739,p2_fusion,crema,27,0.259409,4,0.240546,14,0.198925,0.1923,1.765983
SDAVT_R4_F_C_TS_20260622_140751,p0_fix,crema,28,0.283602,27,0.257899,15,0.283602,0.236726,1.727608
SDAVT_R4_F_C_TS_20260624_085905,p2_fusion,crema,42,0.305108,27,0.243646,29,0.272849,0.219893,1.706777
SDAVT_R4_F_M_ES,p2_fusion,meld,16,0.624549,3,0.610869,3,0.434116,0.452238,0.925188
SDAVT_R4_F_M_LFA_20260623_210443,p2_fusion,meld,12,0.493682,1,0.456243,3,0.455776,0.406265,1.083772
SDAVT_R4_F_M_LFT_20260623_225301,p2_fusion,meld,14,0.448556,9,0.420657,5,0.424188,0.397799,1.143089
SDAVT_R4_F_M_STD_20260622_140751,p0_fix,meld,13,0.499097,2,0.459452,4,0.440433,0.426041,1.067123
SDAVT_R4_F_M_STD_20260624_005729,p2_fusion,meld,14,0.497292,2,0.444707,5,0.444043,0.423874,1.08917
SDAVT_R4_F_M_TS_20260622_163603,p0_fix,meld,18,0.436823,9,0.382593,9,0.305054,0.299984,1.140549
