run,phase,dataset,epochs,best_acc,best_acc_ep,best_f1,best_f1_ep,last_acc,last_f1,min_cls_ce_uw
SDAVT_R4_F_C_TS_20260622_140751,p0_fix,crema,28,0.283602,27,0.257899,15,0.283602,0.236726,1.727608
SDAVT_R4_F_M_STD_20260622_140751,p0_fix,meld,13,0.499097,2,0.459452,4,0.440433,0.426041,1.067123
SDAVT_R4_F_M_TS_20260622_163603,p0_fix,meld,18,0.436823,9,0.382593,9,0.305054,0.299984,1.140549
SDAVT_R4_F_O_LFT_20260622_174508,p0_fix,mosei,9,0.23303,0,0.088081,0,0.23303,0.088081,1.94591
SDAVT_R4_F_O_LFT_20260622_212841,p0_fix,mosei,3,0.23303,0,0.088081,0,0.23303,0.088081,1.94591
SDAVT_R4_F_O_LFT_20260622_214330,p0_fix,mosei,9,0.716195,0,0.598017,7,0.716195,0.597758,0.752715
SDAVT_R4_F_O_STD_20260622_191324,p0_fix,mosei,9,0.23303,0,0.088081,0,0.23303,0.088081,1.94591
SDAVT_R4_F_O_STD_20260622_213550,p0_fix,mosei,1,0.23303,0,0.088081,0,0.23303,0.088081,1.94591
SDAVT_R4_F_O_STD_20260622_222125,p0_fix,mosei,9,0.716195,0,0.598786,7,0.714057,0.598667,0.759348
SDAVT_R4_F_O_TS_20260622_202016,p0_fix,mosei,9,0.23303,0,0.088081,0,0.23303,0.088081,1.94591
SDAVT_R4_F_O_TS_20260622_213845,p0_fix,mosei,1,0.23303,0,0.088081,0,0.23303,0.088081,1.94591
SDAVT_R4_F_O_TS_20260622_232044,p0_fix,mosei,9,0.716195,0,0.597758,0,0.712988,0.596196,0.758729
