run,phase,dataset,epochs,best_acc,best_acc_ep,best_f1,best_f1_ep,last_acc,last_f1,min_cls_ce_uw
SDAVT_R4_F_C_ES,p2_fusion,crema,47,0.547043,41,0.541194,34,0.541667,0.528858,1.286404
SDAVT_R4_F_C_LFA_20260624_070022,p2_fusion,crema,28,0.306452,15,0.297813,26,0.302419,0.290646,1.729417
SDAVT_R4_F_C_LFT_20260624_073903,p2_fusion,crema,28,0.331989,15,0.308119,15,0.306452,0.280939,1.662516
SDAVT_R4_F_C_STD_20260624_081739,p2_fusion,crema,27,0.259409,4,0.240546,14,0.198925,0.1923,1.765983
SDAVT_R4_F_C_TS_20260624_085905,p2_fusion,crema,42,0.305108,27,0.243646,29,0.272849,0.219893,1.706777
SDAVT_R4_F_M_ES,p2_fusion,meld,16,0.624549,3,0.610869,3,0.434116,0.452238,0.925188
SDAVT_R4_F_M_LFA_20260623_210443,p2_fusion,meld,12,0.493682,1,0.456243,3,0.455776,0.406265,1.083772
SDAVT_R4_F_M_LFT_20260623_225301,p2_fusion,meld,14,0.448556,9,0.420657,5,0.424188,0.397799,1.143089
SDAVT_R4_F_M_STD_20260624_005729,p2_fusion,meld,14,0.497292,2,0.444707,5,0.444043,0.423874,1.08917
SDAVT_R4_F_M_TS_20260624_030111,p2_fusion,meld,21,0.431408,5,0.36817,12,0.382671,0.341339,1.144631
SDAVT_R4_F_O_ES_20260624_101647,p2_fusion,mosei,21,0.726884,9,0.679162,12,0.711384,0.674582,0.717305
SDAVT_R4_F_O_LFT_20260624_110504,p2_fusion,mosei,9,0.716195,0,0.598017,7,0.716195,0.597758,0.752715
SDAVT_R4_F_O_STD_20260624_115119,p2_fusion,mosei,9,0.716195,0,0.598786,7,0.714057,0.598667,0.759348
SDAVT_R4_F_O_TS_20260624_123518,p2_fusion,mosei,9,0.716195,0,0.597758,0,0.712988,0.596196,0.758729
